"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6695132-<b>T</b>,"1 x 10-8",,0.2216,'-,"0.0097 unit increase",[0.0064-0.013],"U8, IRF2BP2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:234598909
rs1329125-<b>T</b>,"8 x 10-11",,0.3273,'-,"0.0097 unit decrease",[0.0068-0.0126],IRF2BP2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:234605134
rs12405889-<b>T</b>,"2 x 10-12",,0.489,'-,"0.0098 unit decrease",[0.0071-0.0125],TBCE,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:235433937
rs114593137-<b>A</b>,"2 x 10-12",,0.793,'-,"0.0122 unit decrease",[0.0089-0.0155],WDR64,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:241713263
rs3897821-<b>A</b>,"4 x 10-25",,0.6654,'-,"0.0154 unit increase",[0.012-0.018],SDCCAG8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:243257086
rs2994326-<b>T</b>,"3 x 10-8",,0.1852,'-,"0.01 unit decrease",[0.0065-0.0135],SDCCAG8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:243487724
rs10927053-<b>A</b>,"2 x 10-8",,0.8886,'-,"0.0125 unit decrease",[0.0082-0.0168],AKT3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:243648019
rs622169-<b>T</b>,"3 x 10-9",,0.4536,'-,"0.0086 unit increase",[0.0059-0.0113],C1orf100,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:244274105
rs12614263-<b>A</b>,"3 x 10-9",,0.4959,'-,"0.0083 unit increase",[0.0056-0.011],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:4076206
rs7603132-<b>A</b>,"1 x 10-14",,0.1938,'-,"0.0137 unit increase",[0.01-0.017],"RNU6-649P, LINC01249","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:4903958
rs7590368-<b>T</b>,"4 x 10-20",,0.7335,'-,"0.0146 unit decrease",[0.011-0.018],PDIA6,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:10821348
rs76076331-<b>T</b>,"2 x 10-23",,0.1346,'-,"0.0206 unit increase",[0.016-0.025],PDIA6,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:10837459
rs1734370-<b>A</b>,"2 x 10-10",,0.7171,'-,"0.0099 unit increase",[0.0068-0.013],"PDIA6, LINC01954","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:10838584
rs55826493-<b>T</b>,"3 x 10-9",,0.1216,'-,"0.0127 unit decrease",[0.0086-0.0168],MIR3681HG,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:12696514
rs1991585-<b>T</b>,"6 x 10-11",,0.706,'-,"0.0101 unit decrease",[0.0072-0.013],CYRIA,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:16465902
rs312945-<b>A</b>,"2 x 10-9",,0.3051,'-,"0.0091 unit decrease",[0.0062-0.012],"APOB, TDRD15","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:21105953
rs6738860-<b>A</b>,"5 x 10-10",,0.4574,'-,"0.0088 unit decrease",[0.0061-0.0115],"RN7SL117P, RNA5SP87","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:22219227
rs4358081-<b>A</b>,"1 x 10-11",,0.5285,'-,"0.0095 unit decrease",[0.0068-0.0122],"TRMT61B, WDR43","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:28877776
rs13029602-<b>T</b>,"1 x 10-10",,0.6059,'-,"0.0092 unit decrease",[0.0065-0.0119],ALK,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:29352009
rs6543810-<b>T</b>,"2 x 10-8",,0.3771,'-,"0.0082 unit increase",[0.0053-0.0111],LINC01320,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:34154956
rs72881110-<b>A</b>,"4 x 10-8",,0.0753,'-,"0.0146 unit increase",[0.0093-0.0199],CAMKMT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:44526881
rs12468040-<b>T</b>,"3 x 10-21",,0.3819,'-,"0.0137 unit increase",[0.011-0.016],CAMKMT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:44627842
rs72792395-<b>T</b>,"1 x 10-10",,0.1093,'-,"0.0145 unit decrease",[0.01-0.019],CAMKMT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:44659005
rs163229-<b>C</b>,"4 x 10-8",,0.9775,'-,"0.026 unit decrease",[0.017-0.035],LINC01833,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:44930024
rs61387839-<b>A</b>,"1 x 10-8",,0.695,'-,"0.0088 unit increase",[0.0059-0.0117],PPP1R21,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:48461496
rs6744040-<b>A</b>,"1 x 10-8",,0.5117,'-,"0.008 unit decrease",[0.0053-0.0107],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:49681013
rs939400-<b>T</b>,"8 x 10-11",,0.3685,'-,"0.0095 unit decrease",[0.0066-0.0124],NRXN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:50418752
rs13398860-<b>A</b>,"6 x 10-9",,0.6529,'-,"0.0086 unit increase",[0.0057-0.0115],NRXN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:50465802
rs17502934-<b>T</b>,"2 x 10-17",,0.1489,'-,"0.0167 unit decrease",[0.013-0.021],NRXN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:50767117
rs17574007-<b>A</b>,"2 x 10-9",,0.1215,'-,"0.0129 unit decrease",[0.0088-0.017],NRXN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:51003136
rs1120924-<b>T</b>,"3 x 10-13",,0.3362,'-,"0.0108 unit increase",[0.0079-0.0137],STK32B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:5227212
rs13169187-<b>A</b>,"2 x 10-8",,0.5374,'-,"0.0079 unit decrease",[0.0052-0.0106],"RPS17P11, MFSD4BP1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:52421123
rs62370510-<b>A</b>,"6 x 10-9",,0.1771,'-,"0.0109 unit decrease",[0.0072-0.0146],"FST, NDUFS4","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:53493368
rs702606-<b>T</b>,"9 x 10-9",,0.8654,'-,"0.0118 unit increase",[0.0077-0.0159],"ARL15, ASS1P9","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:53871287
rs10940540-<b>A</b>,"3 x 10-8",,0.5522,'-,"0.0078 unit increase",[0.0051-0.0105],SALL4P1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:57381819
rs981883-<b>A</b>,"7 x 10-12",,0.3886,'-,"0.0099 unit increase",[0.0072-0.0126],LINC02225,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:57812162
rs2964199-<b>T</b>,"5 x 10-11",,0.3149,'-,"0.0099 unit decrease",[0.007-0.0128],"PLK2, PGAM1P1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:58236948
rs6450476-<b>A</b>,"5 x 10-14",,0.2929,'-,"0.0116 unit decrease",[0.0087-0.0145],"PLK2, GAPT","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:58475260
rs13361043-<b>T</b>,"2 x 10-8",,0.9329,'-,"0.0158 unit decrease",[0.01-0.021],PDE4D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:59023136
rs981230-<b>T</b>,"1 x 10-12",,0.4793,'-,"0.01 unit increase",[0.0073-0.0127],PDE4D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:59744032
rs78116078-<b>C</b>,"3 x 10-8",,0.718,'-,"0.0086 unit increase",[0.0055-0.0117],"IGSF21, LINC01654","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:18107631
rs10799615-<b>A</b>,"4 x 10-8",,0.2525,'-,"0.0089 unit decrease",[0.0058-0.012],"UBXN10, LINC01757","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:20214877
rs111235962-<b>T</b>,"2 x 10-8",,0.0962,'-,"0.0133 unit increase",[0.0086-0.018],"RPS4XP4, FAM43B","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:20545257
rs12127928-<b>T</b>,"2 x 10-9",,0.8057,'-,"0.0108 unit increase",[0.0073-0.0143],PHACTR4,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:28382018
rs590013-<b>T</b>,"2 x 10-11",,0.6772,'-,"0.01 unit increase",[0.0071-0.0129],OPRD1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:28829226
rs10798888-<b>T</b>,"5 x 10-14",,0.1725,'-,"0.014 unit decrease",[0.01-0.018],ADGRB2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:31733498
rs12028010-<b>T</b>,"1 x 10-22",,0.7711,'-,"0.0164 unit increase",[0.013-0.02],"SCMH1, FOXO6","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:41298799
rs11209894-<b>A</b>,"8 x 10-9",,0.1377,'-,"0.0119 unit increase",[0.0078-0.016],"SCMH1, FOXO6","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:41332996
rs2364544-<b>A</b>,"3 x 10-13",,0.3912,'-,"0.0105 unit decrease",[0.0078-0.0132],FOXO6,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:41367490
rs2992037-<b>A</b>,"4 x 10-23",,0.3223,'-,"0.0149 unit increase",[0.012-0.018],"HYI-AS1, PTPRF","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43484139
rs58859557-<b>T</b>,"3 x 10-11",,0.0702,'-,"0.0187 unit increase",[0.013-0.024],PTPRF,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43544785
rs12076635-<b>C</b>,"3 x 10-34",,0.7811,'-,"0.0207 unit increase",[0.017-0.024],PTPRF,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43560985
rs72673097-<b>A</b>,"9 x 10-10",,0.0299,'-,"0.0257 unit increase",[0.017-0.034],PTPRF,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43622254
rs77201694-<b>A</b>,"1 x 10-12",,0.1213,'-,"0.0156 unit increase",[0.011-0.02],ST3GAL3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43881415
rs803619-<b>T</b>,"2 x 10-14",,0.1076,'-,"0.0173 unit decrease",[0.013-0.022],SLC6A9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:43999747
rs1738050-<b>C</b>,"1 x 10-10",,0.6197,'-,"0.0093 unit decrease",[0.0066-0.012],ERI3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:44241623
rs2081652-<b>A</b>,"1 x 10-16",,0.661,'-,"0.0123 unit increase",[0.0094-0.0152],C4orf45,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:158941761
rs11100237-<b>A</b>,"8 x 10-13",,0.5242,'-,"0.0101 unit decrease",[0.0074-0.0128],LINC02266,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:159555889
rs4691601-<b>A</b>,"2 x 10-16",,0.4571,'-,"0.0115 unit decrease",[0.0088-0.0142],LINC02233,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:159678189
rs1841023-<b>A</b>,"2 x 10-9",,0.6904,'-,"0.0092 unit decrease",[0.0063-0.0121],"TOMM22P4, MIR4454","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:162814432
rs56405138-<b>A</b>,"1 x 10-12",,0.1231,'-,"0.0153 unit increase",[0.011-0.02],TMEM192,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:165205593
rs12646523-<b>T</b>,"4 x 10-16",,0.2483,'-,"0.0132 unit decrease",[0.01-0.016],MFAP3L,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:170023547
rs113731629-<b>T</b>,"2 x 10-8",,0.9859,'-,"0.0339 unit increase",[0.022-0.046],AADAT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:170063078
rs2082317-<b>T</b>,"3 x 10-8",,0.5301,'-,"0.0078 unit decrease",[0.0051-0.0105],RNU6ATAC13P,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:170903398
rs11732657-<b>A</b>,"6 x 10-15",,0.7504,'-,"0.0126 unit decrease",[0.0095-0.0157],LINC02174,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:171505922
rs13117856-<b>A</b>,"5 x 10-8",,0.7054,'-,"0.0084 unit increase",[0.0055-0.0113],"RN7SL253P, GALNTL6","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:173087608
rs17598675-<b>T</b>,"1 x 10-16",,0.5132,'-,"0.0116 unit decrease",[0.0089-0.0143],GPM6A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:175726486
rs62340636-<b>T</b>,"1 x 10-12",,0.6254,'-,"0.0103 unit increase",[0.0076-0.013],"MARK2P4, WDR17","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:176019184
rs72709560-<b>A</b>,"2 x 10-8",,0.6865,'-,"0.0085 unit increase",[0.0056-0.0114],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:177619009
rs1128956-<b>T</b>,"5 x 10-14",,0.8251,'-,"0.014 unit decrease",[0.01-0.018],TENM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:182802852
rs11724690-<b>T</b>,"2 x 10-9",,0.2887,'-,"0.0093 unit increase",[0.0064-0.0122],SORBS2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,4:185843593
rs13163845-<b>T</b>,"5 x 10-14",,0.8488,'-,"0.0149 unit decrease",[0.011-0.019],"LINC01377, LINC01019","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:3264275
rs16871807-<b>T</b>,"2 x 10-9",,0.3297,'-,"0.009 unit increase",[0.0061-0.0119],LINC01019,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:3437183
rs162445-<b>A</b>,"6 x 10-9",,0.0788,'-,"0.0152 unit increase",[0.01-0.02],"MTRR, RNU1-76P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:7943133
rs2434672-<b>A</b>,"1 x 10-10",,0.5321,'-,"0.0091 unit increase",[0.0064-0.0118],CTNND2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:11471767
rs16901689-<b>T</b>,"5 x 10-9",,0.1634,'-,"0.0111 unit increase",[0.0074-0.0148],CTNND2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:11507256
rs4263475-<b>A</b>,"4 x 10-8",,0.5814,'-,"0.0078 unit increase",[0.0051-0.0105],CCNB3P1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:26774033
rs115017135-<b>A</b>,"5 x 10-8",,0.0409,'-,"0.0206 unit decrease",[0.013-0.028],CDH9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:26896846
rs13168136-<b>A</b>,"3 x 10-8",,0.7668,'-,"0.0092 unit decrease",[0.0059-0.0125],CDH9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:26898520
rs17563464-<b>A</b>,"2 x 10-17",,0.2173,'-,"0.0147 unit decrease",[0.011-0.018],CDH9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:26913666
rs10940921-<b>T</b>,"1 x 10-14",,0.4194,'-,"0.0111 unit increase",[0.0084-0.0138],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,5:30808538
rs34363861-<b>A</b>,"9 x 10-10",,0.5194,'-,"0.0087 unit increase",[0.006-0.0114],FBXO41,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:73263284
rs2916490-<b>A</b>,"2 x 10-9",,0.3023,'-,"0.0092 unit decrease",[0.0063-0.0121],CTNNA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:79965226
rs112806496-<b>C</b>,"2 x 10-10",,0.9129,'-,"0.016 unit decrease",[0.011-0.021],CTNNA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:80194680
rs11894424-<b>A</b>,"2 x 10-10",,0.9524,'-,"0.0209 unit increase",[0.014-0.027],CTNNA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:80360966
rs183869217-<b>C</b>,"5 x 10-9",,0.9409,'-,"0.0174 unit increase",[0.012-0.023],RNA5SP99,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:81524216
rs72919450-<b>T</b>,"2 x 10-8",,0.0997,'-,"0.0132 unit decrease",[0.0087-0.0177],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:81772444
rs35751693-<b>T</b>,"8 x 10-10",,0.0348,'-,"0.0246 unit decrease",[0.017-0.032],"ANKRD36B, UBTFL6","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:97626092
rs13034349-<b>T</b>,"9 x 10-9",,0.4076,'-,"0.0082 unit decrease",[0.0055-0.0109],"ZAP70, C2orf92","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:97712734
rs62155350-<b>A</b>,"2 x 10-10",,0.0186,'-,"0.0338 unit increase",[0.023-0.044],"CNGA3, VWA3B","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:98316517
rs62155770-<b>A</b>,"7 x 10-10",,0.9474,'-,"0.0196 unit decrease",[0.013-0.026],EIF5B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99364759
rs6715321-<b>T</b>,"8 x 10-12",,0.4277,'-,"0.0097 unit decrease",[0.007-0.0124],"REV1, AFF3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99492539
rs77826402-<b>T</b>,"2 x 10-8",,0.073,'-,"0.0151 unit increase",[0.0098-0.0204],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99634927
rs6715849-<b>A</b>,"7 x 10-18",,0.4401,'-,"0.0122 unit decrease",[0.0095-0.0149],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99689916
rs13009915-<b>T</b>,"1 x 10-8",,0.0378,'-,"0.0212 unit increase",[0.014-0.028],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99806696
rs72819118-<b>T</b>,"8 x 10-22",,0.0942,'-,"0.0231 unit decrease",[0.018-0.028],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99834895
rs75203411-<b>T</b>,"8 x 10-13",,0.1713,'-,"0.0135 unit increase",[0.0098-0.0172],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:99896691
rs4851263-<b>A</b>,"8 x 10-11",,0.103,'-,"0.0151 unit decrease",[0.011-0.02],AFF3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100185405
rs13018640-<b>T</b>,"1 x 10-50",,0.6017,'-,"0.0215 unit decrease",[0.019-0.024],"LINC01104, AFF3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100205083
rs71413877-<b>A</b>,"3 x 10-22",,0.041,'-,"0.0351 unit increase",[0.028-0.042],LONRF2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100308360
rs10166286-<b>T</b>,"4 x 10-16",,0.173,'-,"0.0151 unit increase",[0.011-0.019],"PDCL3, ARPP19P2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100511633
rs34106693-<b>C</b>,"2 x 10-16",,0.8318,'-,"0.0159 unit increase",[0.012-0.02],"ARPP19P2, PDCL3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100535368
rs2942884-<b>A</b>,"2 x 10-10",,0.4639,'-,"0.009 unit decrease",[0.0063-0.0117],LINC01868,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100707116
rs77702819-<b>T</b>,"4 x 10-14",,0.0907,'-,"0.0187 unit increase",[0.014-0.024],"LINC01868, NPAS2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100712266
rs4850954-<b>T</b>,"4 x 10-8",,0.4628,'-,"0.0077 unit increase",[0.005-0.0104],NPAS2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:100956752
rs10204051-<b>T</b>,"2 x 10-12",,0.4055,'-,"0.0101 unit decrease",[0.0074-0.0128],"CRLF3P1, TMEM182","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:103158977
rs34748029-<b>A</b>,"4 x 10-13",,0.0876,'-,"0.0185 unit increase",[0.014-0.023],CRLF3P1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:103443545
rs2570497-<b>T</b>,"1 x 10-16",,0.6367,'-,"0.0121 unit decrease",[0.0092-0.015],"LINC01965, CAPZBP1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:103825088
rs62155873-<b>T</b>,"2 x 10-12",,0.1221,'-,"0.0151 unit decrease",[0.011-0.019],"FHL2, C2orf49","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:105352905
rs12712269-<b>T</b>,"7 x 10-14",,0.3962,'-,"0.0107 unit decrease",[0.008-0.0134],PPP1R2P5,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:106947659
rs13402497-<b>A</b>,"1 x 10-8",,0.4902,'-,"0.008 unit decrease",[0.0053-0.0107],DPP10,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:115068741
rs78918150-<b>T</b>,"4 x 10-8",,0.6227,'-,"0.008 unit decrease",[0.0051-0.0109],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:116853949
rs58996896-<b>A</b>,"4 x 10-9",,0.7388,'-,"0.0094 unit decrease",[0.0063-0.0125],"LINC01823, LINC01826","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:122977429
rs4848924-<b>A</b>,"4 x 10-14",,0.71,'-,"0.0117 unit decrease",[0.0088-0.0146],CNTNAP5,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:124234310
rs13010566-<b>A</b>,"1 x 10-10",,0.4718,'-,"0.0091 unit decrease",[0.0064-0.0118],NCAPH,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:125115631
rs6743032-<b>A</b>,"8 x 10-12",,0.0926,'-,"0.0165 unit decrease",[0.012-0.021],"LINC01889, RNU6-259P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:125267210
rs13026611-<b>A</b>,"1 x 10-8",,0.3555,'-,"0.0084 unit decrease",[0.0055-0.0113],MAP3K2-DT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:127395759
rs17650634-<b>T</b>,"2 x 10-8",,0.8287,'-,"0.0104 unit decrease",[0.0067-0.0141],"NXPH2, LINC02631","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:138662822
rs72972965-<b>A</b>,"3 x 10-8",,0.3496,'-,"0.0083 unit increase",[0.0054-0.0112],"RPL9P13, MRPS18BP2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:139696807
rs10169002-<b>A</b>,"1 x 10-8",,0.5305,'-,"0.008 unit decrease",[0.0053-0.0107],RPL9P13,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:139805799
rs75308819-<b>A</b>,"9 x 10-10",,0.0233,'-,"0.0287 unit increase",[0.019-0.038],RN7SL283P,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:139884809
