"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2159100-<b>T</b>,"6 x 10-18",,NR,1.099,'-,[1.08-1.12],CACNA1C,Schizophrenia,schizophrenia,'-,GCST007201,12:2237227
rs11708578-<b>G</b>,"1 x 10-10",,NR,1.0799136,'-,[1.06-1.1],CNTN4,Schizophrenia,schizophrenia,'-,GCST007201,3:2474210
rs10199182-<b>A</b>,"4 x 10-7",,NR,1.054,'-,[1.03-1.07],LINC01884,Schizophrenia,schizophrenia,'-,GCST007201,2:22524252
rs4330281-<b>C</b>,"3 x 10-8",,NR,1.0604454,'-,[1.04-1.08],TBC1D5,Schizophrenia,schizophrenia,'-,GCST007201,3:17817874
rs10803138-<b>G</b>,"3 x 10-8",,NR,1.0706638,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs35978510-<b>C</b>,"2 x 10-10",,NR,1.066098,'-,[1.05-1.09],AKT3,Schizophrenia,schizophrenia,'-,GCST007201,1:243612815
rs1506297-<b>T</b>,"3 x 10-7",,NR,1.06,'-,[1.04-1.08],RBMS3,Schizophrenia,schizophrenia,'-,GCST007201,3:30030816
rs10510653-<b>A</b>,"7 x 10-7",,NR,1.068,'-,[1.04-1.09],OSBPL10,Schizophrenia,schizophrenia,'-,GCST007201,3:32017067
rs3732386-<b>T</b>,"4 x 10-11",,NR,1.074,'-,[1.05-1.1],TRANK1,Schizophrenia,schizophrenia,'-,GCST007201,3:36830502
rs11685299-<b>C</b>,"4 x 10-11",,NR,1.0683761,'-,[1.05-1.09],CUL3,Schizophrenia,schizophrenia,'-,GCST007201,2:224526579
rs2194545-<b>G</b>,"3 x 10-6",,NR,1.0471205,'-,[1.03-1.07],"LINC01807, SNF8P1",Schizophrenia,schizophrenia,'-,GCST007201,2:228418495
rs778371-<b>G</b>,"2 x 10-13",,NR,1.0752687,'-,[1.05-1.1],SNORC,Schizophrenia,schizophrenia,'-,GCST007201,2:232878399
rs7529073-<b>C</b>,"1 x 10-7",,NR,1.0504202,'-,[1.03-1.07],PROX1-AS1,Schizophrenia,schizophrenia,'-,GCST007201,1:213974546
rs12543645-<b>C</b>,"3 x 10-7",,NR,1.055,'-,[1.03-1.08],MSRA,Schizophrenia,schizophrenia,'-,GCST007201,8:10388815
rs17687067-<b>C</b>,"2 x 10-10",,NR,1.0741138,'-,[1.05-1.1],ZDHHC2,Schizophrenia,schizophrenia,'-,GCST007201,8:17178692
rs13259407-<b>C</b>,"1 x 10-8",,NR,1.0548522,'-,[1.04-1.07],PSD3,Schizophrenia,schizophrenia,'-,GCST007201,8:18565413
rs73219805-<b>A</b>,"2 x 10-12",,NR,1.083,'-,[1.06-1.11],BNIP3L,Schizophrenia,schizophrenia,'-,GCST007201,8:26415252
rs11778040-<b>C</b>,"1 x 10-8",,NR,1.0729614,'-,[1.05-1.1],GULOP,Schizophrenia,schizophrenia,'-,GCST007201,8:27562290
rs112537273-<b>T</b>,"1 x 10-12",,NR,1.081,'-,[1.06-1.1],LETM2,Schizophrenia,schizophrenia,'-,GCST007201,8:38390788
rs867743-<b>G</b>,"2 x 10-9",,NR,1.0615711,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,8:59782088
rs7012816-<b>A</b>,"2 x 10-8",,NR,1.072,'-,[1.05-1.1],PRDM14,Schizophrenia,schizophrenia,'-,GCST007201,8:70052508
rs7010876-<b>T</b>,"3 x 10-8",,NR,1.0638298,'-,[1.04-1.09],MMP16,Schizophrenia,schizophrenia,'-,GCST007201,8:88252522
rs1460583-<b>C</b>,"2 x 10-7",,NR,1.0515248,'-,[1.03-1.07],ZFPM2,Schizophrenia,schizophrenia,'-,GCST007201,8:105096365
rs16880831-<b>G</b>,"2 x 10-10",,NR,1.0775862,'-,[1.05-1.1],STAU2,Schizophrenia,schizophrenia,'-,GCST007201,8:110549276
rs13266463-<b>G</b>,"9 x 10-9",,NR,1.059322,'-,[1.04-1.08],TSNARE1,Schizophrenia,schizophrenia,'-,GCST007201,8:142322332
rs7022054-<b>G</b>,"6 x 10-8",,NR,1.0537407,'-,[1.03-1.07],KDM4C,Schizophrenia,schizophrenia,'-,GCST007201,9:7173500
rs9695226-<b>G</b>,"9 x 10-8",,NR,1.059322,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs10124101-<b>G</b>,"8 x 10-7",,NR,1.049318,'-,[1.03-1.07],"RNF38, HMGB3P24",Schizophrenia,schizophrenia,'-,GCST007201,9:36308830
rs2767713-<b>C</b>,"1 x 10-10",,NR,1.0729614,'-,[1.05-1.09],DDX10P2,Schizophrenia,schizophrenia,'-,GCST007201,9:82184622
rs3824451-<b>C</b>,"2 x 10-7",,NR,1.066098,'-,[1.04-1.09],GABBR2,Schizophrenia,schizophrenia,'-,GCST007201,9:98309240
rs11790388-<b>G</b>,"1 x 10-7",,NR,1.0706638,'-,[1.05-1.1],RALGPS1,Schizophrenia,schizophrenia,'-,GCST007201,9:126978004
rs7099380-<b>A</b>,"2 x 10-6",,NR,1.047,'-,[1.03-1.07],CACNB2,Schizophrenia,schizophrenia,'-,GCST007201,10:18260087
rs7893279-<b>T</b>,"9 x 10-14",,NR,1.122,'-,[1.09-1.15],CACNB2,Schizophrenia,schizophrenia,'-,GCST007201,10:18456176
rs61847307-<b>C</b>,"5 x 10-7",,NR,1.0604454,'-,[1.04-1.08],PRKG1,Schizophrenia,schizophrenia,'-,GCST007201,10:52184682
rs17439799-<b>C</b>,"1 x 10-8",(EA),NR,1.0672358,'-,[1.05-1.09],"LRRN3, IMMP2L",Schizophrenia,schizophrenia,'-,GCST007201,7:111101521
rs3849046-<b>T</b>,"1 x 10-8",(EA),NR,1.0649627,'-,[1.04-1.09],ETF1,Schizophrenia,schizophrenia,'-,GCST007201,5:138515503
rs11685299-<b>C</b>,"1 x 10-8",(EA),NR,1.0684903,'-,[1.05-1.09],CUL3,Schizophrenia,schizophrenia,'-,GCST007201,2:224526579
rs10894308-<b>G</b>,"2 x 10-8",(EA),NR,1.064396,'-,[1.04-1.09],"NTM, RN7SL167P",Schizophrenia,schizophrenia,'-,GCST007201,11:131022000
rs13261481-<b>T</b>,"2 x 10-8",(EA),NR,1.0638298,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,8:59789242
rs2053079-<b>G</b>,"2 x 10-8",(EA),NR,1.07446,'-,[1.05-1.1],ZNF536,Schizophrenia,schizophrenia,'-,GCST007201,19:30496516
rs11027827-<b>C</b>,"2 x 10-8",(EA),NR,1.0638298,'-,[1.04-1.09],LINC02686,Schizophrenia,schizophrenia,'-,GCST007201,11:24353633
rs11740474-<b>T</b>,"2 x 10-8",(EA),NR,1.0647359,'-,[1.04-1.09],GALNT10,Schizophrenia,schizophrenia,'-,GCST007201,5:154301187
rs12421382-<b>C</b>,"2 x 10-8",(EA),NR,1.0672358,'-,[1.04-1.09],C11orf87,Schizophrenia,schizophrenia,'-,GCST007201,11:109507345
rs172531-<b>G</b>,"3 x 10-8",(EA),NR,1.0663254,'-,[1.04-1.09],RERE,Schizophrenia,schizophrenia,'-,GCST007201,1:8435530
rs2693698-<b>G</b>,"3 x 10-8",(EA),NR,1.0636035,'-,[1.04-1.09],BCL11B,Schizophrenia,schizophrenia,'-,GCST007201,14:99252882
rs6716963-<b>A</b>,"3 x 10-8",(EA),NR,1.0649627,'-,[1.04-1.09],NAB1,Schizophrenia,schizophrenia,'-,GCST007201,2:193502815
rs1065861-<b>T</b>,"4 x 10-8",(EA),NR,1.1380448,'-,[1.09-1.18],MEF2C,Schizophrenia,schizophrenia,'-,GCST007201,5:88796133
