"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs35932034-<b>C</b>,"4 x 10-6",,0.11,0.2,'-,[0.09-0.4],LINC00882,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,3:106543458
rs1989051-<b>C</b>,"4 x 10-6",,0.57,2.2,'-,[1.6-3.1],RN7SKP226,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,8:128281872
rs16921209-<b>G</b>,"7 x 10-9",,0.007,32.22,'-,[NR],NEBL,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,10:20879174
rs17076896-<b>G</b>,"8 x 10-9",,0.014,21.03,'-,[NR],"PSPC1P1, TUBA3C","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,13:19181923
rs17782904-<b>T</b>,"8 x 10-8",,0.003,45.95,'-,[NR],SETBP1,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,18:44733745
rs11793049-<b>A</b>,"2 x 10-7",,NR,'-,'-,'-,ZNF618,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,9:114011589
rs12210919-<b>C</b>,"4 x 10-7",,0.02055,14.02,'-,[NR],MDGA1,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,6:37677736
rs12900413-<b>C</b>,"7 x 10-7",,0.06164,8.698,'-,[NR],MESP2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,15:89777808
rs10127456-<b>T</b>,"1 x 10-6",,0.0137,16,'-,[NR],"FHAD1-AS1, FHAD1","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,1:15327376
rs1842579-<b>?</b>,"2 x 10-6",,0.05137,8.618,'-,[NR],COL24A1,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,1:85823399
rs10185178-<b>?</b>,"3 x 10-6",,0.006849,22.89,'-,[NR],MYO3B,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,2:170499764
rs12799264-<b>?</b>,"3 x 10-6",,0.006849,22.89,'-,[NR],NAV2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,11:19958686
rs16837858-<b>?</b>,"3 x 10-6",,0.006849,22.89,'-,[NR],CPNE4,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,3:131812484
rs17349258-<b>?</b>,"3 x 10-6",,0.006849,22.89,'-,[NR],CSMD1,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,8:4983502
rs12810016-<b>?</b>,"3 x 10-6",,0.006897,22.74,'-,[NR],TMTC2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,12:82914584
rs7902334-<b>?</b>,"5 x 10-6",,0.4545,6.771,'-,[NR],CAMK1D,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,10:12603942
rs12023377-<b>?</b>,"5 x 10-6",,0.07192,7.374,'-,[NR],CSMD2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,1:33685660
rs11624704-<b>?</b>,"6 x 10-6",,0.0274,10.44,'-,[NR],NRXN3,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,14:78319734
rs1233754-<b>?</b>,"6 x 10-6",,0.0274,10.44,'-,[NR],MACROD2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,20:15572166
rs1293386-<b>?</b>,"7 x 10-6",,0.1849,6.366,'-,[NR],TSHZ2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,20:53180814
rs4905138-<b>?</b>,"8 x 10-6",,0.01712,12.76,'-,[NR],CCDC197,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,14:94000011
rs17098586-<b>?</b>,"9 x 10-6",,0.07534,7.013,'-,[NR],'-,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003560,"Mapping not available"
rs35610040-<b>G</b>,"1 x 10-26",,0.205443,'-,"0.0562 mg/L decrease",[NR],CST3,"Plasma cystastin c levels in acute coronary syndrome","cystatin C measurement, acute coronary syndrome",'-,GCST002406,20:23635832
rs16985615-<b>?</b>,"4 x 10-7","(Conditioned on rs6048952)",NR,'-,'-,'-,"CST3, CST4","Plasma cystastin c levels in acute coronary syndrome","cystatin C measurement, acute coronary syndrome",'-,GCST002406,20:23661790
rs35150895-<b>A</b>,"6 x 10-7",,0.05382,3.4485,'-,NR,'-,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,4:66580115
rs7784948-<b>T</b>,"2 x 10-6",,0.09338,2.5804,'-,NR,"CCNJP1, SSU72P8","Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,7:124429457
rs72935945-<b>T</b>,"3 x 10-6",,0.1891,2.2328,'-,NR,METTL24,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,6:110334472
rs4714457-<b>C</b>,"5 x 10-6",,0.219,2.1262,'-,NR,"FOXP4-AS1, NCR2","Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,6:41410254
rs2438162-<b>A</b>,"5 x 10-6",,0.2833,2.0436,'-,NR,ISCA1P6,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,2:128556655
rs9998058-<b>C</b>,"6 x 10-6",,0.0736,2.7108,'-,NR,PALLD,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,4:168675402
rs10421769-<b>C</b>,"6 x 10-6",,0.3275,0.4201,'-,NR,GPATCH1,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,19:33114406
rs3849111-<b>A</b>,"7 x 10-6",,0.3717,0.4318,'-,NR,EPB41L4B,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,9:109232442
rs56222681-<b>A</b>,"9 x 10-6",,0.1431,2.3036,'-,NR,'-,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,6:156157819
rs1965492-<b>C</b>,"9 x 10-6",,0.4236,1.9761,'-,NR,SCAPER,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,15:76480985
rs56076602-<b>G</b>,"9 x 10-6",,0.07774,2.7811,'-,NR,DSCAM,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992","liver transplant",GCST011434,21:40679234
rs2839812-<b>A</b>,"1 x 10-11",,0.279,'-,'-,'-,"MIR4693, DYNC2H1","Coronary artery disease","coronary artery disease",'-,GCST008370,11:103802566
rs7924772-<b>G</b>,"2 x 10-9",,0.387,'-,'-,'-,ARHGEF12,"Coronary artery disease","coronary artery disease",'-,GCST008370,11:120362917
rs11170820-<b>G</b>,"1 x 10-9",,0.058,'-,'-,'-,"FAM242C, FLJ12825","Coronary artery disease","coronary artery disease",'-,GCST008370,12:54120131
rs4766578-<b>A</b>,"8 x 10-14",,0.495,'-,'-,'-,ATXN2,"Coronary artery disease","coronary artery disease",'-,GCST008370,12:111466567
rs17696736-<b>G</b>,"8 x 10-11",,0.428,'-,'-,'-,NAA25,"Coronary artery disease","coronary artery disease",'-,GCST008370,12:112049014
rs72934535-<b>C</b>,"7 x 10-9",,0.108,'-,'-,'-,NBEAL1,"Coronary artery disease","coronary artery disease",'-,GCST008370,2:203104250
rs13065626-<b>G</b>,"2 x 10-8",,0.137,'-,'-,'-,STAG1,"Coronary artery disease","coronary artery disease",'-,GCST008370,3:136575915
rs13139571-<b>A</b>,"3 x 10-10",,0.233,'-,'-,'-,GUCY1A1,"Coronary artery disease","coronary artery disease",'-,GCST008370,4:155724361
rs9349379-<b>G</b>,"6 x 10-19",,0.405,'-,'-,'-,PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST008370,6:12903725
rs685031-<b>A</b>,"9 x 10-9",,0.389,'-,'-,'-,C2,"Coronary artery disease","coronary artery disease",'-,GCST008370,6:31913954
rs430918-<b>T</b>,"5 x 10-8",,0.066,'-,'-,'-,"RAB23, PRIM2","Coronary artery disease","coronary artery disease",'-,GCST008370,6:57249018
rs78707197-<b>C</b>,"4 x 10-10",,0.022,'-,'-,'-,TENT5A,"Coronary artery disease","coronary artery disease",'-,GCST008370,6:81749317
rs2011767-<b>T</b>,"1 x 10-13",,0.459,'-,'-,'-,FLJ40194,"Coronary artery disease","coronary artery disease",'-,GCST008370,17:49262935
rs7209400-<b>T</b>,"2 x 10-12",,0.453,'-,'-,'-,"PHB, ZNF652","Coronary artery disease","coronary artery disease",'-,GCST008370,17:49372695
rs3918226-<b>T</b>,"2 x 10-10",,0.081,'-,'-,'-,NOS3,"Coronary artery disease","coronary artery disease",'-,GCST008370,7:150993088
rs35237252-<b>A</b>,"5 x 10-8",,0.251,'-,'-,'-,"RPL30P9, LPL","Coronary artery disease","coronary artery disease",'-,GCST008370,8:20012760
rs1333042-<b>G</b>,"2 x 10-72",,0.496,'-,'-,'-,CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST008370,9:22103814
rs7412-<b>T</b>,"7 x 10-17",,0.081,'-,'-,'-,APOE,"Coronary artery disease","coronary artery disease",'-,GCST008370,19:44908822
rs28451064-<b>A</b>,"1 x 10-14",,0.132,'-,'-,'-,"LINC00310, KCNE2","Coronary artery disease","coronary artery disease",'-,GCST008370,21:34221526
rs11591147-<b>T</b>,"2 x 10-12",,0.018,'-,'-,'-,PCSK9,"Coronary artery disease","coronary artery disease",'-,GCST008370,1:55039974
rs17114046-<b>G</b>,"1 x 10-11",,0.092,'-,'-,'-,PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST008370,1:56500678
rs12740374-<b>T</b>,"2 x 10-25",,0.222,'-,'-,'-,CELSR2,"Coronary artery disease","coronary artery disease",'-,GCST008370,1:109274968
rs2133189-<b>T</b>,"2 x 10-11",,0.286,'-,'-,'-,MIA3,"Coronary artery disease","coronary artery disease",'-,GCST008370,1:222641100
rs16986953-<b>A</b>,"1 x 10-8",,0.068,'-,'-,'-,"LINC01808, CISD1P1","Coronary artery disease","coronary artery disease",'-,GCST008370,2:19742712
rs2028900-<b>T</b>,"2 x 10-8",,0.45,'-,'-,'-,MAT2A,"Coronary artery disease","coronary artery disease",'-,GCST008370,2:85540612
rs1169288-<b>C</b>,"1 x 10-9",,0.313,'-,'-,'-,"HNF1A-AS1, HNF1A","Coronary artery disease","coronary artery disease",'-,GCST008370,12:120978847
rs638634-<b>T</b>,"1 x 10-8",,0.302,'-,'-,'-,COL4A1,"Coronary artery disease","coronary artery disease",'-,GCST008370,13:110185206
rs11072811-<b>C</b>,"1 x 10-10",,0.492,'-,'-,'-,MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST008370,15:78839988
rs4932373-<b>C</b>,"2 x 10-17",,0.326,'-,'-,'-,FES,"Coronary artery disease","coronary artery disease",'-,GCST008370,15:90886057
rs7500448-<b>G</b>,"8 x 10-10",,0.254,'-,'-,'-,CDH13,"Coronary artery disease","coronary artery disease",'-,GCST008370,16:83012185
rs12194592-<b>G</b>,"2 x 10-10",,0.307,'-,'-,'-,TARID,"Coronary artery disease","coronary artery disease",'-,GCST008370,6:133883109
rs55730499-<b>T</b>,"5 x 10-62",,0.081,'-,'-,'-,LPA,"Coronary artery disease","coronary artery disease",'-,GCST008370,6:160584578
rs2107595-<b>A</b>,"4 x 10-10",,0.152,'-,'-,'-,"HDAC9, TWIST1","Coronary artery disease","coronary artery disease",'-,GCST008370,7:19009765
rs550780826-<b>G</b>,"2 x 10-8",,0.004,'-,'-,'-,"CCDC68, LINC01929","Coronary artery disease","coronary artery disease",'-,GCST008370,18:55055967
rs56125973-<b>C</b>,"4 x 10-13",,0.118,'-,'-,'-,SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST008370,19:11077488
rs150282530-<b>T</b>,"3 x 10-8",,0.001,'-,'-,'-,TRPM3,"Coronary artery disease","coronary artery disease",'-,GCST008370,9:70938329
rs9337951-<b>A</b>,"7 x 10-9",,0.345,'-,'-,'-,JCAD,"Coronary artery disease","coronary artery disease",'-,GCST008370,10:30028144
rs11238907-<b>G</b>,"2 x 10-8",,0.115,'-,'-,'-,'-,"Coronary artery disease","coronary artery disease",'-,GCST008370,10:44192332
rs378825-<b>G</b>,"3 x 10-8",,0.427,'-,'-,'-,SWAP70,"Coronary artery disease","coronary artery disease",'-,GCST008370,11:9745385
rs633185-<b>C</b>,"9 x 10-9",,0.285,'-,'-,'-,ARHGAP42,"Coronary artery disease","coronary artery disease",'-,GCST008370,11:100722807
rs17206992-<b>G</b>,"6 x 10-6",(EA),0.057,2.32,'-,[NR],GALNT13,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,2:154368670
rs113517532-<b>AGAT</b>,"2 x 10-6",(EA),0.106,1.75,'-,[NR],LINC01117,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,2:176780863
rs73018809-<b>T</b>,"2 x 10-7",(EA),0.024,3.5,'-,[NR],NUP210,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,3:13329174
rs28641753-<b>T</b>,"2 x 10-7",(EA),0.071,2.1,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,3:104256574
rs78031527-<b>T</b>,"5 x 10-6",(EA),0.201,1.7,'-,[NR],"JAKMIP1, C4orf50","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,4:6169503
rs143537377-<b>C</b>,"8 x 10-6",(EA),0.096,1.88,'-,[NR],LINC02212,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,5:10500534
rs115829748-<b>T</b>,"1 x 10-9",(EA),0.04,3.16,'-,[NR],MAP1B,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,5:72098560
rs9354144-<b>A</b>,"6 x 10-6",(EA),0.105,1.71,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,6:94847753
rs571622299-<b>A</b>,"6 x 10-6",(EA),0.015,4.12,'-,[NR],KCNB2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,8:72930288
rs143723948-<b>T</b>,"6 x 10-7",(EA),0.499,1.65,'-,[NR],PAX5,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:37034098
rs117826205-<b>C</b>,"6 x 10-6",(EA),0.026,2.72,'-,[NR],MALRD1,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,10:19168458
rs61879614-<b>C</b>,"3 x 10-6",(EA),0.048,2.94,'-,[NR],TUB,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,11:8058878
rs34319244-<b>C</b>,"3 x 10-6",(EA),0.44,1.51,'-,[NR],"UBE2G1, SPNS3","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,17:4424870
rs113114656-<b>T</b>,"2 x 10-6",(EA),0.04,2.67,'-,[NR],SMAD2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,18:47872985
rs67213764-<b>G</b>,"9 x 10-6",(EA),0.261,1.48,'-,[NR],LINC01683,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,21:19974842
rs12482425-<b>G</b>,"9 x 10-6",(EA),0.686,1.5151515,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,21:23556791
rs373009901-<b>C</b>,"9 x 10-6",(EA),0.019,3.94,'-,[NR],GRK3,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,22:25592812
rs138760780-<b>T</b>,"9 x 10-6",(EA),0.018,3.48,'-,[NR],CDK18,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,1:205515245
rs12344245-<b>G</b>,"9 x 10-6",(EA),0.035,2.52,'-,[NR],FAM189A2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:69340801
rs12344245-<b>G</b>,"9 x 10-6",,0.035,1.85,'-,[1.41-2.43],FAM189A2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:69340801
rs138760780-<b>T</b>,"2 x 10-6",,0.018,2.6,'-,[1.75-3.85],CDK18,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,1:205515245
rs13232179-<b>A</b>,"1 x 10-6",,0.11,1.67,'-,[1.36-2.06],"CRYGN, WDR86-AS1","Coronary heart disease","coronary artery disease",'-,GCST000972,7:151423862
rs9546711-<b>A</b>,"2 x 10-6",,0.42,1.66,'-,[1.35-2.04],MTND4P1,"Coronary heart disease","coronary artery disease",'-,GCST000972,13:84480131
rs17577085-<b>?</b>,"4 x 10-6",,0.46,2.631579,'-,[1.72-3.85],SPRY4-AS1,"Coronary heart disease","coronary artery disease",'-,GCST000972,5:142484039
rs9818870-<b>T</b>,"7 x 10-13",,0.15,1.15,'-,[1.11-1.19],MRAS,"Coronary heart disease","coronary artery disease",'-,GCST000338,3:138403280
rs2259816-<b>T</b>,"5 x 10-7",,0.36,1.08,'-,[1.05-1.11],HNF1A,"Coronary heart disease","coronary artery disease",'-,GCST000338,12:120997784
rs1994016-<b>C</b>,"5 x 10-13",,0.60,1.19,'-,[1.13-1.24],ADAMTS7,"Coronary artery disease","coronary artery disease",'-,GCST000945,15:78787892
rs646776-<b>T</b>,"8 x 10-11",,0.79,1.33,'-,[1.22-1.44],"CELSR2, PSRC1","Coronary artery disease","coronary artery disease",'-,GCST000945,1:109275908
rs4977574-<b>G</b>,"5 x 10-14",,0.53,1.3,'-,[1.22-1.39],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST000945,9:22098575
rs4380028-<b>C</b>,"4 x 10-9",,0.65,1.07,'-,[1.05-1.10],MORF4L1,"Coronary heart disease","coronary artery disease",'-,GCST000999,15:78818751
rs10953541-<b>C</b>,"3 x 10-8",,0.80,1.08,'-,[1.05-1.11],"DUS4L-BCAP29, BCAP29","Coronary heart disease","coronary artery disease",'-,GCST000999,7:107604100
rs2505083-<b>C</b>,"4 x 10-8",,0.38,1.07,'-,[1.04-1.09],JCAD,"Coronary heart disease","coronary artery disease",'-,GCST000999,10:30046193
rs5943057-<b>?</b>,"9 x 10-7",,NR,'-,'-,'-,CHRDL1,"Coronary heart disease","coronary artery disease",'-,GCST000999,X:110695977
rs840616-<b>?</b>,"7 x 10-7",,NR,'-,'-,'-,"CALCRL, RNU6-989P","Coronary heart disease","coronary artery disease",'-,GCST000999,2:187331742
rs2472299-<b>?</b>,"3 x 10-6",,NR,'-,'-,'-,"CYP1A2, CYP1A1","Coronary heart disease","coronary artery disease",'-,GCST000999,15:74741059
rs6504218-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,PECAM1,"Coronary heart disease","coronary artery disease",'-,GCST000999,17:64330939
rs7586970-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,TFPI,"Coronary heart disease","coronary artery disease",'-,GCST000999,2:187478770
rs1332844-<b>T</b>,"6 x 10-8",,NR,1.11,'-,[1.07-1.15],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST000999,6:12888772
rs4977574-<b>G</b>,"2 x 10-25",,NR,1.2,'-,[1.16-1.25],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST000999,9:22098575
rs974819-<b>T</b>,"2 x 10-9",,0.32,1.07,'-,[1.04-1.09],"MIR4693, DYNC2H1","Coronary heart disease","coronary artery disease",'-,GCST000999,11:103789839
rs9349379-<b>?</b>,"9 x 10-26",,NR,'-,'-,'-,PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST000999,6:12903725
rs1395821-<b>?</b>,"7 x 10-7",,NR,'-,'-,'-,'-,"Coronary heart disease","coronary artery disease",'-,GCST000999,4:147126398
rs11650066-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,ASIC2,"Coronary heart disease","coronary artery disease",'-,GCST000999,17:33960430
rs17114046-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,PLPP3,"Coronary heart disease","coronary artery disease",'-,GCST000999,1:56500678
rs4743150-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,"HEMGN, ANP32B","Coronary heart disease","coronary artery disease",'-,GCST000999,9:97977842
rs646776-<b>T</b>,"6 x 10-10",,NR,1.14,'-,[1.09-1.19],"CELSR2, PSRC1","Coronary heart disease","coronary artery disease",'-,GCST000999,1:109275908
rs1412444-<b>T</b>,"3 x 10-13",,0.42,1.09,'-,[1.07-1.12],LIPA,"Coronary heart disease","coronary artery disease",'-,GCST000999,10:89243170
rs12413409-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,CNNM2,"Coronary heart disease","coronary artery disease",'-,GCST000999,10:102959339
rs3739998-<b>C</b>,"1 x 10-11",,0.44,1.15,'-,[1.11-1.20],JCAD,"Coronary heart disease","coronary artery disease",'-,GCST000875,10:30027143
rs1333042-<b>?</b>,"1 x 10-9",,NR,1.3,'-,[1.19-1.41],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001845,9:22103814
rs11066015-<b>A</b>,"5 x 10-11",,NR,1.41,'-,[1.27-1.56],ACAD10,"Coronary heart disease","coronary artery disease",'-,GCST001845,12:111730205
rs886126-<b>T</b>,"1 x 10-6",,0.66,1.14,'-,[1.08-1.20],CUX2,"Coronary heart disease","coronary artery disease",'-,GCST001845,12:111241410
rs3782889-<b>C</b>,"4 x 10-14",,0.21,1.26,'-,[1.19-1.34],MYL2,"Coronary heart disease","coronary artery disease",'-,GCST001845,12:110912851
